,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
74,64,0.0628,1.1803,0.4514,0.1747,0.0000,0.9566,1.0331,1.0984,1.1341,7.6126,8.7152,1.1567,1.2415,1.2001,1.2364,1.0533,1.1383,0.0000,0.0000,0.9441,1.0546,1.6426,1.6181,0.9012,1.0497,98.0000,0.0000,0.0000,
52,64,0.0541,0.7876,0.2536,0.1634,0.0000,0.6213,0.8317,0.8486,0.8470,0.6885,16.0904,0.7942,0.9761,0.9236,0.8848,0.8832,0.9483,0.0000,0.0000,0.8346,0.8565,1.0093,1.0368,0.6580,13.8682,80.0000,0.0000,0.0000,
51,64,0.0594,0.9367,0.3692,0.1961,0.0000,0.6633,0.9228,0.9788,13.6439,5.7560,4.9688,0.8844,14.0646,0.8197,0.9407,0.9418,1.0561,0.0000,0.0000,0.8193,0.9438,1.0250,1.1265,0.8288,0.9500,90.0000,0.0000,0.0000,
67,64,0.0533,1.5492,0.4500,0.1953,0.0000,1.0993,1.2103,1.2831,1.2451,5.8448,3.3506,1.2219,1.3293,1.3797,1.3373,1.1778,1.3014,0.0000,0.0000,1.0652,1.2731,1.3507,1.4075,1.1040,1.3637,146.0000,0.0000,0.0000,
94,64,0.0390,0.9360,0.3895,0.1716,0.0000,0.7464,0.9810,1.0549,1.0395,9.9402,7.5618,1.0865,1.0736,0.8475,0.8321,1.8259,1.7809,0.0000,0.0000,0.8294,0.8845,1.0387,1.0923,0.6425,0.8573,76.0000,0.0000,0.0000,
96,64,0.0398,0.8307,0.3732,0.1709,0.0000,0.7113,0.9910,1.0421,1.0025,10.5746,8.7858,0.9282,1.0882,0.9756,0.9361,1.1019,1.1447,0.0000,0.0000,0.8134,0.8730,1.0372,1.0259,0.6841,0.8957,78.0000,0.0000,0.0000,
72,64,0.0502,1.6385,0.3963,0.1975,0.0000,0.8884,1.0839,1.1024,1.1332,6.3019,5.3170,1.0307,1.1980,1.1285,1.1083,1.0675,1.2071,0.0000,0.0000,0.9367,1.0705,1.3744,2.2699,14.0040,1.1589,105.0000,0.0000,0.0000,
66,64,0.0507,0.7456,0.3024,0.1640,0.0000,0.6417,0.8348,0.8326,0.8456,17.5258,3.1844,0.7687,0.9068,0.7651,0.8513,0.8632,0.9558,0.0000,0.0000,0.7652,0.9012,14.4825,1.0455,0.7772,0.8757,77.0000,0.0000,0.0000,
103,64,0.0446,1.0028,0.4050,0.1807,0.0000,0.7091,0.9824,0.9661,0.9557,3.8915,5.6824,0.8522,0.9871,0.8451,0.9389,1.1970,1.3209,0.0000,0.0000,0.8773,0.9171,1.3634,1.2014,0.8550,0.9773,86.0000,0.0000,0.0000,
77,64,0.0583,2.3680,0.5020,0.1998,0.0000,1.0969,1.3652,1.4501,1.4608,10.8786,9.5785,1.3445,1.5795,1.4563,1.3717,1.0969,1.3368,0.0000,0.0000,1.2692,1.2785,1.9596,2.7796,1.2421,1.4670,142.0000,0.0000,0.0000,
68,64,0.0487,1.4768,0.3664,0.1739,0.0000,0.7459,0.9379,0.9349,0.9587,18.3957,3.2096,0.8531,0.9659,0.9846,0.9895,0.9270,14.0905,0.0000,0.0000,0.8437,0.9633,1.7480,2.1280,0.8059,0.9798,84.0000,0.0000,0.0000,
87,64,0.0524,1.3876,0.4171,0.1817,0.0000,0.8930,1.2096,1.2494,1.2912,11.4417,9.9088,1.3100,1.3051,1.1761,1.1260,1.0685,1.1537,0.0000,0.0000,0.9377,1.0691,1.9794,3.0764,1.1634,1.2510,118.0000,0.0000,0.0000,
76,64,0.0706,1.6092,0.5197,0.2104,0.0000,1.0669,1.4080,1.4290,1.4274,11.5081,10.0533,1.3345,1.5798,1.5237,1.4475,1.2043,1.3425,0.0000,0.0000,1.3134,1.3210,2.2766,3.8064,1.2549,1.4379,165.0000,0.0000,0.0000,
106,64,0.0456,1.0518,0.3754,0.1698,0.0000,0.7613,0.9073,0.9535,0.9330,2.2436,2.5895,0.7359,0.8958,0.8952,0.8713,0.8386,0.9386,0.0000,0.0000,0.7689,0.8587,3.0519,1.9030,0.7540,0.8490,77.0000,0.0000,0.0000,
105,64,0.0403,1.2292,0.4221,0.1714,0.0000,0.7639,1.0453,1.0480,1.0036,2.1992,3.3759,0.8595,0.9763,0.7988,0.9455,1.0832,1.1887,0.0000,0.0000,0.8858,0.9219,2.7306,2.1060,0.8033,0.9365,76.0000,0.0000,0.0000,
89,64,0.0481,1.4140,0.4203,0.1869,0.0000,1.0781,1.1610,1.2083,1.2398,11.0907,10.3917,1.2913,1.2465,1.1190,1.1153,1.0194,1.1380,0.0000,0.0000,1.0224,1.0907,2.0897,4.2418,1.0835,1.1923,109.0000,0.0000,0.0000,
92,64,0.0477,1.5819,0.4612,0.1893,0.0000,1.0083,1.2618,1.2517,1.2531,10.6376,10.2527,1.2289,1.2302,0.9243,1.1573,1.0807,1.1972,0.0000,0.0000,1.0297,1.1301,2.1518,4.2288,1.0824,1.2011,105.0000,0.0000,0.0000,
98,64,0.0518,1.3471,0.4823,0.1931,0.0000,1.1003,1.3189,1.2795,1.3023,15.1833,5.1723,1.1036,1.1451,1.1677,1.1924,1.0406,1.1662,0.0000,0.0000,1.0040,1.1402,2.9824,2.1119,1.0355,1.1499,124.0000,0.0000,0.0000,
109,64,0.0448,1.3387,0.3540,0.1798,0.0000,0.8607,1.0342,1.0710,1.0405,2.1735,2.9236,0.8432,0.9676,1.0129,1.0039,0.9406,1.0449,0.0000,0.0000,0.8955,0.9838,2.4238,1.4336,0.8986,1.0082,91.0000,0.0000,0.0000,
86,64,0.0614,1.9815,0.5034,0.1968,0.0000,1.0982,1.3503,2.3014,1.6723,11.0019,10.1115,1.3129,1.3312,1.3074,1.3312,1.1310,1.2891,0.0000,0.0000,1.2626,1.2967,5.1644,3.5114,1.2042,1.4593,141.0000,0.0000,0.0000,
90,64,0.0580,1.9918,0.5027,0.2026,0.0000,1.2775,1.3967,1.4029,1.4903,10.8744,9.8609,1.4007,1.3095,1.2990,1.3055,1.1563,1.2915,0.0000,0.0000,1.2305,1.2769,5.2689,3.6672,1.2656,1.4048,140.0000,0.0000,0.0000,
93,64,0.0489,2.0342,0.4615,0.1939,0.0000,1.0861,1.3776,1.3630,1.5134,10.8362,9.8879,1.2131,1.2686,1.2769,1.2617,1.2065,1.3158,0.0000,0.0000,1.1722,1.2380,5.2914,3.9751,1.1815,1.3528,125.0000,0.0000,0.0000,
117,64,0.0400,0.7547,0.3660,0.1721,0.0000,0.6194,0.8580,0.8511,0.8431,1.3217,2.0836,0.7620,0.9563,0.7828,0.8530,0.8275,0.9208,0.0000,0.0000,0.6952,0.8323,1.0208,2.3353,0.8221,0.8920,79.0000,0.0000,0.0000,
97,64,0.0546,1.8340,0.4694,0.1836,0.0000,1.1605,1.3024,1.3139,1.5606,10.6725,9.5404,1.2077,1.1793,1.2273,1.2224,1.1441,1.1966,0.0000,0.0000,1.1174,1.1831,5.5097,4.4947,1.2366,1.3082,126.0000,0.0000,0.0000,
